1.Какая из функций вернет итерируемый объект?; А)len(); B)xrange(); C)range(); D)ord(); C)range()
2. Укажите модули входящие в стандартный набор Python:; A)math; B)PIL; C)Numpy; A)math
3. Укажите все правильные способы использования print:; A)print”5”; B)print() *5; C)print(5,”5”); C)print(5,"5")
4. Какие фрагменты кода создадут словари (diCtionary):; A) tel = {‘qwe’, ‘asd’, ‘zxC’}; B)tel = {‘qwe’ :1, ‘asd’:2, ‘zxC’ : 3}; C) ни один из перечисленных; B)tel = {‘qwe’ :1, ‘asd’:2, ‘zxC’ : 3}
5. Что напечатает следующий код: 7//3 + 7//-3; A) 0;  B)-1; C)1; B)-1
6. Python 3, в отличии от Python 2, полностью поддерживает UniCode.;A)Не верно, не поддерживает обе версии; B)Верно; C) Нет; B)Верно
7. Какое значение получит а? a = 2,3; A)(2,3); B)3; C)2; A)(2,3)
8. Что напечатает следующий код:Print((1,2,3) &lt; (1,2,4)); A) None; B)True; C)False; B)True
9. Какие из перечисленных выражений создадут список ровно из трех элементов:; A) list(range(3)); B) &#39;asd&#39;.split(); C) a = [1, 2, 3]; A)list(range(3))
10. Что выведет следующая строка кода? print{“0:*^15}”.format(1234567); A)1234567; B)ошибка; C)****1234567****; C)****1234567****
11. Укажите все правильные способы конкатенации двух строк:; A)’asd’.’xCv’; B)’asd’.strip()’xCv’; C)’asd’+’zxC’; C)’asd’+’zxC’
12. Что напечатает следующая строка text = ‘hello’; A)hello; B)hell; C)o; C)o
13. Из чего состоит Csv файл?;a) Из строк которые состоят из отдельных столбцов разделенных запятыми; B) Только из столбцов; C) Только из строк; a)Из строк которые состоят из отдельных столбцов разделенных запятыми
14. Какие существуют типы переменных?;a) num; B) int; C) list; B) int
15. Что делает команда S1*3?; a) Узнает длину строки; B) Переводит первый символ в верхний регистр; C) Повторяет строку; C) Повторяет строку
16. Что делает команда len(S)?;a) Повторяет строку; B) Узнает длину строки; C) Переводит первый символ вверхний регистр; B) Узнает длину строки
17. Что такое условный оператор?; a) Область памяти имеющая собственное имя и предназначенная для размещения данных; B) Объект принимающий аргументы и возвращающий значение; C)Конструкция которая выполняет команду только при условии истинности выражения; C)Конструкция которая выполняет команду только при условии истинности
18. Какой модуль позволяет генерировать случайные числа?;a) Datetime; B) Random; C) Math; a)Datetime
19. Какой оператор возврощает остаток?;A) $; B)&amp; C)%; C)%
20. Какой метод разворачивает список?;A) Clear (); B) Clear (); C) reverse (); C)reverse ()
